Station;Lignes de métro;RER / Tram;Situation;Arrondissement / Localisation;Fréquentation annuelle;Dans le top 20 fréquenté
"Abbesses";"12";"";"Souterraine";"Paris 18e";"1513884";"Non"
"Aéroport d'Orly";"14";"Tram T7";"Souterraine";"Hors intra-muros (Paray-Vieille-Poste)";"0";"Non"
"Aimé Césaire";"12";"";"Souterraine";"Hors intra-muros (Aubervilliers)";"0";"Non"
"Alésia";"4";"";"Souterraine";"Paris 14e";"3098136";"Non"
"Alexandre Dumas";"2";"";"Souterraine";"Paris 11e, Paris 20e";"2476608";"Non"
"Alma - Marceau";"9";"";"Souterraine";"Paris 8e, Paris 16e";"2564842";"Non"
"Anatole France";"3";"";"Souterraine";"Hors intra-muros (Levallois-Perret)";"2311825";"Non"
"Anvers";"2";"";"Souterraine";"Paris 9e, Paris 18e";"3420749";"Non"
"Argentine";"1";"";"Souterraine";"Paris 16e, Paris 17e";"2079212";"Non"
"Arts et Métiers";"3, 11";"";"Souterraine";"Paris 3e";"2403042";"Non"
"Assemblée nationale";"12";"";"Souterraine";"Paris 7e";"611512";"Non"
"Aubervilliers - Pantin - Quatre Chemins";"7";"";"Souterraine";"Hors intra-muros (Aubervilliers, Pantin)";"5616435";"Non"
"Avenue Émile-Zola";"10";"";"Souterraine";"Paris 15e";"1041233";"Non"
"Avron";"2";"";"Souterraine";"Paris 11e, Paris 20e";"1345521";"Non"
"Bagneux - Lucie Aubrac";"4";"";"Souterraine";"Hors intra-muros (Bagneux)";"0";"Non"
"Balard";"8";"Tram T2, Tram T3a";"Souterraine";"Paris 15e";"3236801";"Non"
"Barbara";"4";"";"Souterraine";"Hors intra-muros (Montrouge, Bagneux)";"0";"Non"
"Barbès - Rochechouart";"2, 4";"";": Aérienne : Souterraine";"Paris 9e, Paris 10e, Paris 18e";"5390939";"Non"
"Basilique de Saint-Denis";"13";"Tram T1, Tram T5";"Souterraine";"Hors intra-muros (Saint-Denis)";"3991395";"Non"
"Bastille";"1, 5, 8";"";": Fleur de sol  : Souterraine";"Paris 4e, Paris 11e, Paris 12e";"8069243";"Oui"
"Bel-Air";"6";"";"Fleur de sol";"Paris 12e";"1605573";"Non"
"Belleville";"2, 11";"";"Souterraine";"Paris 10e, Paris 11e, Paris 19e, Paris 20e";"7314438";"Oui"
"Bérault";"1";"";"Souterraine";"Hors intra-muros (Saint-Mandé, Vincennes)";"2106827";"Non"
"Bercy";"6, 14";"";"Souterraine";"Paris 12e";"3884212";"Non"
"Bibliothèque François-Mitterrand";"14";"RER C, Tram T3a";"Souterraine";"Paris 13e";"11104474";"Oui"
"Billancourt";"9";"";"Souterraine";"Hors intra-muros (Boulogne-Billancourt)";"1967532";"Non"
"Bir-Hakeim";"6";"RER C";"Aérienne";"Paris 15e";"3362908";"Non"
"Blanche";"2";"";"Souterraine";"Paris 9e, Paris 18e";"2167570";"Non"
"Bobigny - Pablo Picasso";"5";"Tram T1";"Souterraine";"Hors intra-muros (Bobigny)";"6561327";"Oui"
"Bobigny - Pantin - Raymond Queneau";"5";"";"Souterraine";"Hors intra-muros (Bobigny, Pantin)";"2335465";"Non"
"Boissière";"6";"";"Souterraine";"Paris 16e";"1224181";"Non"
"Bolivar";"7bis";"";"Souterraine";"Paris 19e";"367598";"Non"
"Bonne-Nouvelle";"8, 9";"";"Souterraine";"Paris 2e, Paris 9e, Paris 10e";"2806227";"Non"
"Botzaris";"7bis";"";"Souterraine";"Paris 19e";"669323";"Non"
"Boucicaut";"8";"";"Souterraine";"Paris 15e";"2288055";"Non"
"Boulogne - Jean Jaurès";"10";"";"Souterraine";"Hors intra-muros (Boulogne-Billancourt)";"2700354";"Non"
"Boulogne - Pont de Saint-Cloud";"10";"";"Souterraine";"Hors intra-muros (Boulogne-Billancourt)";"2182738";"Non"
"Bourse";"3";"";"Souterraine";"Paris 2e";"1725043";"Non"
"Bréguet - Sabin";"5";"";"Souterraine";"Paris 11e";"1490160";"Non"
"Brochant";"13";"";"Souterraine";"Paris 17e";"1543298";"Non"
"Buttes Chaumont";"7bis";"";"Souterraine";"Paris 19e";"358301";"Non"
"Buzenval";"9";"";"Souterraine";"Paris 20e";"1448855";"Non"
"Cadet";"7";"";"Souterraine";"Paris 9e";"1843984";"Non"
"Cambronne";"6";"";"Aérienne";"Paris 15e";"1636566";"Non"
"Campo-Formio";"5";"";"Souterraine";"Paris 13e";"1016150";"Non"
"Cardinal Lemoine";"10";"";"Souterraine";"Paris 5e";"1121854";"Non"
"Carrefour Pleyel";"13";"";"Souterraine";"Hors intra-muros (Saint-Denis)";"1535528";"Non"
"Censier - Daubenton";"7";"";"Souterraine";"Paris 5e";"2291843";"Non"
"Champs-Élysées - Clemenceau";"1, 13";"";"Souterraine";"Paris 8e";"1909005";"Non"
"Chardon-Lagache";"10";"";"Souterraine";"Paris 16e";"482053";"Non"
"Charenton - Écoles";"8";"";"Souterraine";"Hors intra-muros (Charenton-le-Pont)";"2164023";"Non"
"Charles de Gaulle - Étoile";"1, 2, 6";"RER A";"Souterraine";"Paris 8e, Paris 16e, Paris 17e";"4291663";"Non"
"Charles Michels";"10";"";"Souterraine";"Paris 15e";"3079569";"Non"
"Charonne";"9";"";"Souterraine";"Paris 11e";"2705320";"Non"
"Château d'Eau";"4";"";"Souterraine";"Paris 10e";"2687103";"Non"
"Château de Vincennes";"1";"";"Souterraine";"Paris 12e, Vincennes";"3617738";"Non"
"Château-Landon";"7";"";"Souterraine";"Paris 10e";"1140353";"Non"
"Château Rouge";"4";"";"Souterraine";"Paris 18e";"5841122";"Non"
"Châtelet";"1, 4, 7, 11, 14";"RER A, RER B, RER D";"Souterraine";"Paris 1er, Paris 4e";"8350794";"Oui"
"Châtillon - Montrouge";"13";"Tram T6";"Aérienne";"Hors intra-muros (Bagneux,Châtillon,Montrouge)";"5034012";"Non"
"Chaussée d'Antin - La Fayette";"7, 9";"";"Souterraine";"Paris 9e";"4251916";"Non"
"Chemin Vert";"8";"";"Souterraine";"Paris 3e, Paris 11e";"1018958";"Non"
